"OPLEIDINGSNAAM_ACTUEEL","TotalStudents"
"B Technische Bedrijfskunde","4162"
"B Werktuigbouwkunde","4043"
"B Technische Wiskunde","989"
"B Technische Informatica","2465"
"B Technische Natuurkunde","2069"
"B Scheikundige Technologie","1463"
"B Electrical Engineering","2795"
"B Bouwkunde","3989"
"B Technische Innovatiewetenschappen","1717"
"B Biomedische Technologie","2663"
"B Data Science (joint degree)","55"
"B Industrial Design","2383"
